latitude,longitude,elevation_m,local_mean_elevation_m,relative_depression_m,slope_proxy_m,low_threshold_m,very_low_threshold_m,lowland_flood_score,lowland_flood_level,terrain_evidence_count,lowland_flood_reason
35.857752675335576,127.02959060668945,11.0,20.94293975830078,9.942939758300781,3.0,32.0,14.0,71.9143567281052,매우 높음,3,"고도 11.0m, 주변 평균보다 9.9m 낮음, 국지 고도차 3.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.87333337294744,127.08726882934569,10.0,15.362882614135742,5.362882614135742,1.0,32.0,14.0,70.31380878195021,매우 높음,3,"고도 10.0m, 주변 평균보다 5.4m 낮음, 국지 고도차 1.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.865543407034444,127.08726882934569,12.0,19.674745559692383,7.674745559692383,3.0,32.0,14.0,70.29156331352289,매우 높음,3,"고도 12.0m, 주변 평균보다 7.7m 낮음, 국지 고도차 3.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.87333337294744,127.1092414855957,13.0,19.28446388244629,6.284463882446289,2.0,32.0,14.0,69.90768997500285,매우 높음,3,"고도 13.0m, 주변 평균보다 6.3m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.87333337294744,127.01997756958009,7.0,9.196584701538086,2.196584701538086,1.0,32.0,14.0,68.45548778634179,높음,3,"고도 7.0m, 주변 평균보다 2.2m 낮음, 국지 고도차 1.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.88112257300586,127.04881668090819,8.0,11.168680191040039,3.168680191040039,2.0,32.0,14.0,68.44240892758468,높음,3,"고도 8.0m, 주변 평균보다 3.2m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.865543407034444,127.09001541137695,10.0,15.225306510925293,5.225306510925293,4.0,32.0,14.0,68.25104009640621,매우 높음,3,"고도 10.0m, 주변 평균보다 5.2m 낮음, 국지 고도차 4.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.888911007141054,127.05842971801758,7.0,9.40571403503418,2.4057140350341797,2.0,32.0,14.0,67.93685686729714,높음,3,"고도 7.0m, 주변 평균보다 2.4m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.888911007141054,127.1092414855957,14.0,16.905305862426758,2.905305862426758,2.0,32.0,14.0,67.54875637333863,높음,3,"고도 14.0m, 주변 평균보다 2.9m 낮음, 국지 고도차 2.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.88112257300586,127.06804275512697,7.0,10.882132530212402,3.8821325302124023,5.0,32.0,14.0,66.94354360659125,높음,3,"고도 7.0m, 주변 평균보다 3.9m 낮음, 국지 고도차 5.0m. 지형 근거 3/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.8031961172245,127.16691970825192,54.0,123.90587615966797,69.90587615966797,5.0,32.0,14.0,91.85780428365035,높음,2,"고도 54.0m, 주변 평균보다 69.9m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.7876016410509,127.19575881958006,71.0,120.77842712402344,49.77842712402344,3.0,32.0,14.0,91.11853819586169,높음,2,"고도 71.0m, 주변 평균보다 49.8m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.81878753246268,127.19575881958006,99.0,169.53561401367188,70.53561401367188,4.0,32.0,14.0,87.12147946123956,높음,2,"고도 99.0m, 주변 평균보다 70.5m 낮음, 국지 고도차 4.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.79539926171999,127.19575881958006,69.0,106.4123306274414,37.412330627441406,4.0,32.0,14.0,82.50709887133367,높음,2,"고도 69.0m, 주변 평균보다 37.4m 낮음, 국지 고도차 4.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.772004104496354,127.08726882934569,52.0,81.65752410888672,29.65752410888672,2.0,32.0,14.0,80.72061628892484,높음,2,"고도 52.0m, 주변 평균보다 29.7m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.82658209205795,127.17653274536131,68.0,100.22824096679688,32.228240966796875,2.0,32.0,14.0,80.50631052030215,높음,2,"고도 68.0m, 주변 평균보다 32.2m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.75640350811643,127.08726882934569,116.0,159.48533630371094,43.48533630371094,5.0,32.0,14.0,80.24071442855667,높음,2,"고도 116.0m, 주변 평균보다 43.5m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.7642041887498,127.08726882934569,77.0,111.23788452148438,34.237884521484375,3.0,32.0,14.0,80.1020199870304,높음,2,"고도 77.0m, 주변 평균보다 34.2m 낮음, 국지 고도차 3.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.83437588621187,127.1861457824707,72.0,107.84922790527344,35.84922790527344,7.0,32.0,14.0,79.14018776583232,높음,2,"고도 72.0m, 주변 평균보다 35.8m 낮음, 국지 고도차 7.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.81099220749514,127.15730667114256,44.0,68.68513488769531,24.685134887695312,2.0,32.0,14.0,78.3846909335451,높음,2,"고도 44.0m, 주변 평균보다 24.7m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.81878753246268,127.08726882934569,40.0,63.59821319580078,23.59821319580078,5.0,32.0,14.0,76.17229725575417,높음,2,"고도 40.0m, 주변 평균보다 23.6m 낮음, 국지 고도차 5.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
35.772004104496354,127.12846755981444,46.0,66.364013671875,20.364013671875,2.0,32.0,14.0,75.28174315358417,높음,2,"고도 46.0m, 주변 평균보다 20.4m 낮음, 국지 고도차 2.0m. 지형 근거 2/3개. 배수관·하천 수위·불투수면을 반영하지 않은 지형 기반 침수 후보입니다."
